sweep_index,requested_profile,requested_seed,profile,runs,max_ticks_per_run,seed,fun_score,fun_label,max_round_reached,game_over_runs,avg_score,avg_rounds,avg_crushes,avg_items,avg_deaths,active_ratio,direction_change_rate,stage_variety_ratio,stage_unique_per_run,stage_coverage_ratio,score_target,stage_variety_target_ratio,comp_rounds,comp_crushes,comp_items,comp_score,comp_stages,comp_agency,comp_activity,comp_challenge
54,casual,1342,casual,4,8000,1342,43,needs tuning,4,0,15740.000,1.500,2.250,0.000,0.500,0.524648,0.100952,0.100000,0.500000,0.400000,36000.000,0.460000,8.250,3.150,0.000,4.372,1.739,6.000,9.000,10.625
55,casual,1343,casual,4,8000,1343,37,needs tuning,3,0,9945.500,1.000,1.750,0.000,0.500,0.487741,0.080601,0.050000,0.250000,0.200000,36000.000,0.460000,5.500,2.450,0.000,2.763,0.870,6.000,9.000,10.625
56,casual,1344,casual,4,8000,1344,67,promising,4,0,25539.000,2.750,6.000,0.000,1.500,0.482437,0.062990,0.300000,1.500000,0.600000,36000.000,0.460000,15.125,8.400,0.000,7.094,5.217,6.000,9.000,16.292
57,casual,1345,casual,4,8000,1345,37,needs tuning,2,0,13621.500,1.250,1.750,0.000,0.250,0.517943,0.104484,0.000000,0.000000,0.000000,36000.000,0.460000,6.875,2.450,0.000,3.784,0.000,6.000,9.000,8.854
58,casual,1346,casual,4,8000,1346,31,weak fun signal,1,0,8786.500,0.750,0.750,0.000,0.250,0.531389,0.112089,0.000000,0.000000,0.000000,36000.000,0.460000,4.125,1.050,0.000,2.441,0.000,6.000,9.000,8.854
59,casual,1347,casual,4,8000,1347,54,needs tuning,5,1,23362.000,2.250,4.250,0.000,2.000,0.469297,0.050630,0.150000,0.750000,0.600000,36000.000,0.460000,12.375,5.950,0.000,6.489,2.609,5.063,9.000,12.750
60,casual,1348,casual,4,8000,1348,31,weak fun signal,1,0,8209.000,0.750,0.750,0.000,0.250,0.527067,0.112990,0.000000,0.000000,0.000000,36000.000,0.460000,4.125,1.050,0.000,2.280,0.000,6.000,9.000,8.854
61,casual,1337,casual,4,8000,1337,35,needs tuning,2,0,9405.500,1.000,1.250,0.000,0.500,0.479109,0.051133,0.000000,0.000000,0.000000,36000.000,0.460000,5.500,1.750,0.000,2.613,0.000,5.113,9.000,10.625
62,casual,1338,casual,4,8000,1338,41,needs tuning,4,0,16057.000,1.500,2.500,0.000,0.250,0.480060,0.051389,0.100000,0.500000,0.400000,36000.000,0.460000,8.250,3.500,0.000,4.460,1.739,5.139,9.000,8.854
63,casual,1339,casual,4,8000,1339,39,needs tuning,2,1,10365.500,1.000,1.250,0.000,1.000,0.470746,0.052778,0.000000,0.000000,0.000000,36000.000,0.460000,5.500,1.750,0.000,2.879,0.000,5.278,9.000,14.167
