sweep_index,requested_profile,requested_seed,profile,runs,max_ticks_per_run,seed,fun_score,fun_label,max_round_reached,game_over_runs,avg_score,avg_rounds,avg_crushes,avg_items,avg_deaths,active_ratio,direction_change_rate,stage_variety_ratio,stage_unique_per_run,stage_coverage_ratio,score_target,stage_variety_target_ratio,comp_rounds,comp_crushes,comp_items,comp_score,comp_stages,comp_agency,comp_activity,comp_challenge
64,casual,1340,casual,4,8000,1340,45,needs tuning,3,0,18610.000,2.000,3.000,0.000,0.250,0.474642,0.052464,0.100000,0.500000,0.400000,36000.000,0.460000,11.000,4.200,0.000,5.169,1.739,5.246,9.000,8.854
65,casual,1341,casual,4,8000,1341,59,promising,4,0,19825.000,2.250,4.000,0.250,1.250,0.490999,0.073187,0.200000,1.000000,0.800000,36000.000,0.460000,12.375,5.600,0.875,5.507,3.478,6.000,9.000,15.938
66,casual,1342,casual,4,8000,1342,44,needs tuning,4,0,16961.000,1.500,2.500,0.000,0.500,0.533853,0.109969,0.100000,0.500000,0.400000,36000.000,0.460000,8.250,3.500,0.000,4.711,1.739,6.000,9.000,10.625
67,casual,1343,casual,4,8000,1343,43,needs tuning,4,0,12387.500,1.250,2.500,0.000,0.750,0.487150,0.080257,0.100000,0.500000,0.400000,36000.000,0.460000,6.875,3.500,0.000,3.441,1.739,6.000,9.000,12.396
68,casual,1344,casual,4,8000,1344,66,promising,5,0,30689.500,3.250,7.000,0.000,2.500,0.481753,0.063082,0.300000,1.500000,0.600000,36000.000,0.460000,17.875,9.800,0.000,8.525,5.217,6.000,9.000,9.208
69,casual,1345,casual,4,8000,1345,37,needs tuning,2,0,13621.500,1.250,1.750,0.000,0.250,0.517943,0.104484,0.000000,0.000000,0.000000,36000.000,0.460000,6.875,2.450,0.000,3.784,0.000,6.000,9.000,8.854
70,casual,1346,casual,4,8000,1346,31,weak fun signal,1,0,8786.500,0.750,0.750,0.000,0.250,0.531389,0.112089,0.000000,0.000000,0.000000,36000.000,0.460000,4.125,1.050,0.000,2.441,0.000,6.000,9.000,8.854
71,casual,1347,casual,4,8000,1347,50,needs tuning,4,1,20417.000,2.000,3.500,0.000,2.000,0.469126,0.051258,0.100000,0.500000,0.400000,36000.000,0.460000,11.000,4.900,0.000,5.671,1.739,5.126,9.000,12.750
72,casual,1348,casual,4,8000,1348,31,weak fun signal,1,0,8209.000,0.750,0.750,0.000,0.250,0.527067,0.112990,0.000000,0.000000,0.000000,36000.000,0.460000,4.125,1.050,0.000,2.280,0.000,6.000,9.000,8.854
73,survival,1337,survival,4,8000,1337,34,weak fun signal,1,0,11487.500,1.000,1.000,0.000,0.000,0.505155,0.051546,0.000000,0.000000,0.000000,34000.000,0.420000,7.000,1.200,0.000,2.703,0.000,5.155,5.000,12.500
74,survival,1338,survival,4,8000,1338,34,weak fun signal,1,0,12028.500,1.000,1.000,0.000,0.000,0.489203,0.052122,0.000000,0.000000,0.000000,34000.000,0.420000,7.000,1.200,0.000,2.830,0.000,5.212,5.000,12.500
75,survival,1339,survival,4,8000,1339,40,needs tuning,3,0,13977.500,1.500,2.000,0.000,0.000,0.497794,0.054079,0.050000,0.250000,0.200000,34000.000,0.420000,10.500,2.400,0.000,3.289,0.952,5.408,5.000,12.500
76,survival,1340,survival,4,8000,1340,44,needs tuning,2,0,7720.000,0.750,1.000,0.000,1.000,0.547141,0.108856,0.000000,0.000000,0.000000,34000.000,0.420000,5.250,1.200,0.000,1.816,0.000,6.000,5.000,25.000
77,survival,1341,survival,4,8000,1341,50,needs tuning,3,0,14463.000,1.500,2.250,0.000,0.750,0.493270,0.051633,0.050000,0.250000,0.200000,34000.000,0.420000,10.500,2.700,0.000,3.403,0.952,5.163,5.000,21.875
78,survival,1342,survival,4,8000,1342,47,needs tuning,2,0,13781.000,1.250,1.750,0.000,0.750,0.531690,0.093750,0.000000,0.000000,0.000000,34000.000,0.420000,8.750,2.100,0.000,3.243,0.000,6.000,5.000,21.875
79,survival,1343,survival,4,8000,1343,50,needs tuning,5,0,18863.000,1.750,3.500,0.000,0.250,0.487595,0.052940,0.150000,0.750000,0.600000,34000.000,0.420000,12.250,4.200,0.000,4.438,2.857,5.294,5.000,15.625
80,survival,1344,survival,4,8000,1344,58,promising,4,1,18694.000,2.000,3.500,0.000,1.250,0.500983,0.051963,0.150000,0.750000,0.600000,34000.000,0.420000,14.000,4.200,0.000,4.399,2.857,5.196,5.000,21.875
81,survival,1345,survival,4,8000,1345,40,needs tuning,3,1,16321.500,1.750,2.500,0.000,2.250,0.504128,0.052312,0.050000,0.250000,0.200000,34000.000,0.420000,12.250,3.000,0.000,3.840,0.952,5.231,5.000,9.375
82,survival,1346,survival,4,8000,1346,46,needs tuning,3,0,18377.500,1.750,2.500,0.000,0.250,0.499077,0.050106,0.050000,0.250000,0.200000,34000.000,0.420000,12.250,3.000,0.000,4.324,0.952,5.011,5.000,15.625
83,survival,1347,survival,4,8000,1347,43,needs tuning,3,0,7048.500,0.750,1.500,0.000,0.750,0.487096,0.073857,0.050000,0.250000,0.200000,34000.000,0.420000,5.250,1.800,0.000,1.658,0.952,6.000,5.000,21.875
84,survival,1348,survival,4,8000,1348,46,needs tuning,2,1,10599.000,1.000,1.250,0.000,1.000,0.493215,0.051537,0.000000,0.000000,0.000000,34000.000,0.420000,7.000,1.500,0.000,2.494,0.000,5.154,5.000,25.000
85,survival,1337,survival,4,8000,1337,34,weak fun signal,1,0,11487.500,1.000,1.000,0.000,0.000,0.505155,0.051546,0.000000,0.000000,0.000000,34000.000,0.420000,7.000,1.200,0.000,2.703,0.000,5.155,5.000,12.500
86,survival,1338,survival,4,8000,1338,34,weak fun signal,1,0,12028.500,1.000,1.000,0.000,0.000,0.489203,0.052122,0.000000,0.000000,0.000000,34000.000,0.420000,7.000,1.200,0.000,2.830,0.000,5.212,5.000,12.500
